живое время (секунд) 56926,00
Канал    набор
1  8.74000000000000E+0002
2  9.20000000000000E+0002
3  8.31000000000000E+0002
4  8.88000000000000E+0002
5  8.79000000000000E+0002
6  9.52000000000000E+0002
7  1.01700000000000E+0003
8  9.89000000000000E+0002
9  9.18000000000000E+0002
10  9.29000000000000E+0002
11  8.53000000000000E+0002
12  8.27000000000000E+0002
13  7.65000000000000E+0002
14  6.61000000000000E+0002
15  6.68000000000000E+0002
16  6.24000000000000E+0002
17  5.75000000000000E+0002
18  5.89000000000000E+0002
19  5.25000000000000E+0002
20  5.13000000000000E+0002
21  4.84000000000000E+0002
22  4.53000000000000E+0002
23  4.72000000000000E+0002
24  4.79000000000000E+0002
25  4.39000000000000E+0002
26  4.73000000000000E+0002
27  4.59000000000000E+0002
28  4.44000000000000E+0002
29  4.80000000000000E+0002
30  4.63000000000000E+0002
31  4.36000000000000E+0002
32  4.65000000000000E+0002
33  5.07000000000000E+0002
34  5.40000000000000E+0002
35  6.14000000000000E+0002
36  6.76000000000000E+0002
37  7.98000000000000E+0002
38  9.88000000000000E+0002
39  1.15100000000000E+0003
40  1.40200000000000E+0003
41  1.67200000000000E+0003
42  2.05000000000000E+0003
43  2.47400000000000E+0003
44  2.87500000000000E+0003
45  3.37300000000000E+0003
46  3.80900000000000E+0003
47  4.06100000000000E+0003
48  4.62400000000000E+0003
49  5.10100000000000E+0003
50  5.48600000000000E+0003
51  5.76500000000000E+0003
52  6.44900000000000E+0003
53  6.76000000000000E+0003
54  7.18300000000000E+0003
55  7.27000000000000E+0003
56  7.52000000000000E+0003
57  7.70700000000000E+0003
58  7.81900000000000E+0003
59  7.43600000000000E+0003
60  7.44100000000000E+0003
61  7.40500000000000E+0003
62  7.48100000000000E+0003
63  7.54700000000000E+0003
64  7.64900000000000E+0003
65  7.70800000000000E+0003
66  7.56000000000000E+0003
67  7.66700000000000E+0003
68  7.51300000000000E+0003
69  7.52600000000000E+0003
70  7.58600000000000E+0003
71  7.36700000000000E+0003
72  7.27500000000000E+0003
73  7.36400000000000E+0003
74  7.36900000000000E+0003
75  7.45600000000000E+0003
76  7.51200000000000E+0003
77  7.68300000000000E+0003
78  7.76300000000000E+0003
79  7.82600000000000E+0003
80  7.84300000000000E+0003
81  7.83700000000000E+0003
82  7.85200000000000E+0003
83  8.04500000000000E+0003
84  8.07200000000000E+0003
85  8.15600000000000E+0003
86  8.41700000000000E+0003
87  8.26900000000000E+0003
88  8.37600000000000E+0003
